xloc,vavg
-7.000000,0.000000
-6.859000,0.000000
-6.717000,0.000000
-6.576000,0.000000
-6.434000,0.000000
-6.293000,0.000000
-6.152000,0.000000
-6.010000,-0.000392
-5.869000,-0.001774
-5.727000,-0.001899
-5.586000,-0.000693
-5.444000,-0.001810
-5.303000,-0.005854
-5.162000,-0.010443
-5.020000,-0.011792
-4.879000,-0.009895
-4.737000,-0.008768
-4.596000,-0.006846
-4.455000,-0.004399
-4.313000,-0.003951
-4.172000,-0.004504
-4.030000,-0.005259
-3.889000,-0.007013
-3.747000,-0.010216
-3.606000,-0.011134
-3.465000,-0.011314
-3.323000,-0.013470
-3.182000,-0.015365
-3.040000,-0.021124
-2.899000,-0.025741
-2.758000,-0.051966
-2.616000,-0.062208
-2.475000,-0.063123
-2.333000,-0.068225
-2.192000,-0.108224
-2.051000,-0.107068
-1.909000,-0.106939
-1.768000,-0.122916
-1.626000,-0.121427
-1.485000,-0.134618
-1.343000,-0.169113
-1.202000,-0.173315
-1.061000,-0.172508
-0.919000,-0.174375
-0.778000,-0.177328
-0.636000,-0.176580
-0.495000,-0.157595
-0.354000,-0.116157
-0.212000,-0.013173
-0.071000,1.491064
0.071000,1.472405
0.212000,-0.018546
0.354000,-0.048798
0.495000,-0.051663
0.636000,-0.047103
0.778000,-0.055132
0.919000,-0.050869
1.061000,-0.057122
1.202000,-0.065418
1.343000,-0.070463
1.485000,-0.071062
1.626000,-0.070672
1.768000,-0.068853
1.909000,-0.069798
2.051000,-0.066976
2.192000,-0.064571
2.333000,-0.053610
2.475000,-0.057004
2.616000,-0.055776
2.758000,-0.057844
2.899000,-0.059053
3.040000,-0.051267
3.182000,-0.049371
3.323000,-0.045784
3.465000,-0.061815
3.606000,-0.061164
3.747000,-0.055227
3.889000,-0.046201
4.030000,-0.036056
4.172000,-0.026837
4.313000,-0.020948
4.455000,-0.018528
4.596000,-0.017266
4.737000,-0.019312
4.879000,-0.022317
5.020000,-0.021614
5.162000,-0.020121
5.303000,-0.013823
5.444000,-0.007423
5.586000,-0.003161
5.727000,-0.000843
5.869000,-0.000257
6.010000,-0.000109
6.152000,0.000000
6.293000,0.000000
6.434000,0.000000
6.576000,0.000000
6.717000,0.000000
6.859000,0.000000
